Ano_Semestre,aluno_id,prova_1,prova_2,prova_3,prova_4,lista_1,lista_2,lista_3,lista_4,lista_5,lista_6,lista_7,lista_8,lista_9,media_lista,media_prova,media_geral,aprovado_ou_reprovado
45323,80,15,82,10,37,100,95,80,98,100,85,80,95,90,80,36,58,0
45323,81,47,85,35,15,100,100,80,85,95,75,90,90,0,68,46,57,0
45323,82,58,90,50,80,85,85,100,95,90,70,90,75,80,76,70,73,1
45323,83,14,65,30,42,100,0,80,78,90,0,80,100,90,58,38,48,0
45323,84,83,90,74,77,95,100,50,0,95,85,95,95,90,68,81,74,1
45323,85,45,90,25,60,100,90,80,98,95,70,80,100,90,78,55,67,1
45323,86,49,80,35,70,100,95,60,0,95,60,60,75,85,59,59,59,0
45323,87,47,75,45,62,100,100,50,98,0,0,85,90,0,47,57,52,0
45323,88,79,90,50,83,100,100,100,98,95,80,95,95,95,84,76,80,1
45323,89,24,40,32,10,95,90,80,100,95,90,50,100,90,77,27,52,0
45323,90,62,70,35,20,100,95,80,0,100,80,0,90,0,49,47,48,0
45323,91,85,92,45,65,100,95,100,100,100,0,100,95,95,76,72,74,1
45323,92,61,65,59,65,100,100,100,95,100,80,70,80,95,80,63,71,1
45323,93,88,90,75,80,100,95,80,100,95,100,100,100,95,85,83,84,1
45323,94,82,80,45,66,100,100,100,0,100,80,95,95,95,74,68,71,1
45323,95,42,80,55,77,85,100,80,0,95,95,95,90,95,72,64,68,1
45323,96,65,85,25,63,100,95,60,85,95,75,75,80,95,73,60,66,1
45323,97,5,66,0,45,90,90,70,80,95,70,70,80,90,72,29,50,0
45323,98,90,80,50,70,100,100,80,90,95,85,60,90,100,78,73,75,1
45323,99,93,92,55,85,100,100,100,100,100,100,95,95,100,88,81,85,1
45323,100,32,82,25,45,100,90,80,0,80,50,85,80,90,62,46,54,0
45323,101,10,70,35,50,100,90,80,0,85,95,0,90,90,59,41,50,0
45323,102,17,65,34,47,95,80,80,85,95,80,90,80,90,76,41,58,0
45323,103,20,54,37,70,98,95,100,0,0,70,50,90,90,55,45,50,0
