cálculo 2-2024-2,,04 de fev.,11 de fev.,13 de fev.,13 de fev.,21 de fev.,25 de fev.,27 de fev.,27 de fev.,18 de mar.,19 de mar.,20 de mar.,24 de mar.,28 de mar.,01 de abr.,01 de abr.,03 de abr.,08 de abr.,09 de abr.,10 de abr.,15 de abr.,24 de abr.,05 de mai.,05 de mai.,06 de mai.,08 de mai.,19 de mai.,27 de mai.,,,,
,,Q1,Q2,lista 1,Q3,lista 2,Q4,lista 3,Q5,Q6,prova 1,lista 4,lista 5,Q7,Q8,prova 2,Q9,Q10,lista 6,Q11,lista 7,Q12,lista 8,prova 3,Q12,Q13,lista9,prova 4,,,,
32,"78,49%",,,10,1,9,1,,,,"6,8","9,8",10,,,"7,7",,,,1,,,,,,,,1,0,"0,1111111111","0,5","0,5111111111"
33,"84,78%",1,1,10,1,10,,8,1,1,9,9,"9,5",,,8,,,"8,5",1,6,1,9,5,,1,10,7,"8,375","0,4444444444",6,"6,919444444"
34,"93,97%",1,1,10,1,10,1,10,,1,"9,3",10,10,1,,"9,2",,1,10,1,"9,5",1,"9,5","5,5",1,1,10,"8,5","9,75","0,7777777778",7,"8,327777778"
35,"71,57%",1,,10,1,9,,8,1,,"3,2",,8,1,,"8,2",,1,5,,"8,5",1,8,"2,5",1,,9,"4,5","7,625","0,4444444444","3,5","4,769444444"
36,"42,5%",,,"8,5",,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,0
37,"72,77%",,1,10,,9,,8,,,1,,"8,5",,,7,,,"9,5",1,,,9,"3,5",,,9,5,"6,875","0,1111111111","4,25","4,886111111"
38,"86,36%",1,,"8,5",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
39,"48,08%",,1,"9,5",,7,1,,,,"0,5",,3,,,3,,,,,,,,,,,,,0,0,0,0
40,"39,63%",,,6,,4,1,,,,0,,,,,4,,,,,,,5,"2,5",,1,"8,5","0,5","3,375","0,1111111111","1,5","1,986111111"
41,"74,14%",1,1,"9,5",,8,1,8,1,1,"1,7","8,5","9,5",1,,"6,5",1,,8,1,9,1,8,"3,4",,1,9,"4,7","8,5","0,6666666667","4,05","5,606666667"
42,"25,0%",,1,,,,,,,1,0,,,,,0,,,6,,,,,,,,,,"1,5","0,1111111111",0,"0,4111111111"
43,"70,89%",,1,"9,8",,"9,5",1,10,,,2,,,,,"5,4",,,7,,5,,9,"3,7",,,9,7,"7,5",0,"5,35","5,78"
